75 130.00583410263062 Robot: (65, 8, [0, 0, 0, 0]) Solution: [65, 8] [0, 0, 0, 0]
21 35.809256076812744 Robot: (165, 55, [0, 0, 1, 1]) Solution: [165, 55] [0, 0, 1, 1]
51 73.63971018791199 Robot: (91, 167, [0, 0, 0, 0]) Solution: [91, 167] [0, 0, 0, 0]
75 134.86378717422485 Robot: (187, 147, [0, 0, 1, 1]) Solution: [187, 147] [0, 0, 1, 1]
45 77.15830707550049 Robot: (115, 192, [0, 1, 0, 1]) Solution: [115, 192] [0, 1, 0, 1]
35 60.04204702377319 Robot: (82, 6, [0, 0, 0, 0]) Solution: [82, 6] [0, 0, 0, 0]
86 148.03948283195496 Robot: (63, 15, [1, 1, 0, 0]) Solution: [63, 15] [1, 1, 0, 0]
41 70.41381192207336 Robot: (63, 139, [1, 1, 0, 0]) Solution: [63, 139] [1, 1, 0, 0]
64 110.15437126159668 Robot: (123, 54, [0, 1, 0, 1]) Solution: [123, 54] [0, 1, 0, 1]
36 61.82166910171509 Robot: (58, 128, [0, 0, 0, 1]) Solution: [58, 128] [0, 0, 0, 1]
63 96.68975901603699 Robot: (100, 187, [1, 0, 1, 0]) Solution: [100, 187] [1, 0, 1, 0]
62 60.73261833190918 Robot: (89, 74, [0, 1, 0, 1]) Solution: [89, 74] [0, 1, 0, 1]
72 70.21301627159119 Robot: (79, 49, [0, 0, 1, 0]) Solution: [79, 49] [0, 0, 1, 0]
33 32.096389293670654 Robot: (177, 123, [1, 0, 0, 1]) Solution: [177, 123] [1, 0, 0, 1]
44 42.9832398891449 Robot: (116, 92, [0, 0, 0, 0]) Solution: [116, 92] [0, 0, 0, 0]
81 79.00397777557373 Robot: (151, 101, [1, 0, 0, 1]) Solution: [151, 101] [1, 0, 0, 1]
58 56.57695770263672 Robot: (17, 139, [1, 1, 0, 0]) Solution: [17, 139] [1, 1, 0, 0]
62 60.43724346160889 Robot: (69, 63, [0, 0, 0, 0]) Solution: [69, 63] [0, 0, 0, 0]
61 54.07816219329834 Robot: (110, 123, [1, 0, 0, 0]) Solution: [110, 123] [1, 0, 0, 0]
87 77.38557314872742 Robot: (129, 105, [0, 0, 1, 0]) Solution: [129, 105] [0, 0, 1, 0]
39 33.98384189605713 Robot: (12, 134, [0, 0, 1, 0]) Solution: [12, 134] [0, 0, 1, 0]
42 36.82836604118347 Robot: (65, 7, [0, 1, 0, 0]) Solution: [65, 7] [0, 1, 0, 0]
31 27.08723473548889 Robot: (49, 66, [0, 1, 0, 0]) Solution: [49, 66] [0, 1, 0, 0]
46 40.30676484107971 Robot: (44, 37, [1, 0, 0, 0]) Solution: [44, 37] [1, 0, 0, 0]
69 60.506675481796265 Robot: (168, 107, [0, 0, 1, 0]) Solution: [168, 107] [0, 0, 1, 0]
50 43.74097967147827 Robot: (193, 114, [0, 1, 0, 0]) Solution: [193, 114] [0, 1, 0, 0]
61 53.45037651062012 Robot: (45, 169, [0, 1, 0, 0]) Solution: [45, 169] [0, 1, 0, 0]
49 43.006736755371094 Robot: (148, 153, [0, 0, 0, 0]) Solution: [148, 153] [0, 0, 0, 0]
50 43.84456968307495 Robot: (117, 80, [0, 0, 0, 1]) Solution: [117, 80] [0, 0, 0, 1]
62 54.34308862686157 Robot: (173, 28, [0, 1, 0, 1]) Solution: [173, 28] [0, 1, 0, 1]
40 35.0996470451355 Robot: (74, 158, [0, 0, 0, 0]) Solution: [74, 158] [0, 0, 0, 0]
50 43.99250388145447 Robot: (53, 155, [1, 0, 0, 0]) Solution: [53, 155] [1, 0, 0, 0]
45 39.36435270309448 Robot: (149, 111, [0, 0, 1, 0]) Solution: [149, 111] [0, 0, 1, 0]
33 28.876518964767456 Robot: (8, 4, [1, 0, 0, 0]) Solution: [8, 4] [1, 0, 0, 0]
64 56.167258739471436 Robot: (162, 74, [0, 0, 1, 0]) Solution: [162, 74] [0, 0, 1, 0]
37 32.484965801239014 Robot: (149, 58, [0, 1, 0, 0]) Solution: [149, 58] [0, 1, 0, 0]
50 43.92931151390076 Robot: (139, 87, [1, 0, 0, 0]) Solution: [139, 87] [1, 0, 0, 0]
57 50.088321685791016 Robot: (25, 198, [0, 0, 0, 1]) Solution: [25, 198] [0, 0, 0, 1]
29 25.50799059867859 Robot: (126, 69, [1, 0, 1, 0]) Solution: [126, 69] [1, 0, 1, 0]
46 40.43675923347473 Robot: (177, 193, [1, 1, 0, 0]) Solution: [177, 193] [1, 1, 0, 0]
47 41.10346603393555 Robot: (99, 201, [0, 0, 1, 1]) Solution: [99, 201] [0, 0, 1, 1]
46 40.445189476013184 Robot: (168, 100, [0, 0, 1, 1]) Solution: [168, 100] [0, 0, 1, 1]
54 47.433671951293945 Robot: (161, 195, [0, 0, 0, 0]) Solution: [161, 195] [0, 0, 0, 0]
81 71.4075026512146 Robot: (157, 180, [0, 1, 0, 1]) Solution: [157, 180] [0, 1, 0, 1]
46 40.362804651260376 Robot: (16, 59, [1, 0, 0, 0]) Solution: [16, 59] [1, 0, 0, 0]
54 47.56820464134216 Robot: (153, 109, [1, 0, 1, 0]) Solution: [153, 109] [1, 0, 1, 0]
51 44.849628925323486 Robot: (91, 164, [0, 1, 0, 0]) Solution: [91, 164] [0, 1, 0, 0]
57 50.06861066818237 Robot: (177, 73, [0, 0, 0, 0]) Solution: [177, 73] [0, 0, 0, 0]
47 41.081520557403564 Robot: (63, 167, [0, 0, 0, 1]) Solution: [63, 167] [0, 0, 0, 1]
29 25.696743965148926 Robot: (157, 85, [0, 0, 0, 0]) Solution: [157, 85] [0, 0, 0, 0]
42 36.65911793708801 Robot: (62, 101, [0, 0, 0, 0]) Solution: [62, 101] [0, 0, 0, 0]
44 38.78916335105896 Robot: (42, 29, [1, 0, 0, 0]) Solution: [42, 29] [1, 0, 0, 0]
25 21.984808921813965 Robot: (196, 92, [0, 0, 0, 0]) Solution: [196, 92] [0, 0, 0, 0]
64 56.21564340591431 Robot: (75, 115, [0, 0, 1, 1]) Solution: [75, 115] [0, 0, 1, 1]
64 56.04456925392151 Robot: (73, 105, [0, 0, 0, 1]) Solution: [73, 105] [0, 0, 0, 1]
46 40.25268888473511 Robot: (91, 100, [0, 0, 0, 1]) Solution: [91, 100] [0, 0, 0, 1]
31 27.099913358688354 Robot: (14, 194, [0, 0, 1, 0]) Solution: [14, 194] [0, 0, 1, 0]
50 43.814244508743286 Robot: (159, 53, [1, 0, 0, 0]) Solution: [159, 53] [1, 0, 0, 0]
45 39.38712954521179 Robot: (93, 20, [0, 1, 0, 1]) Solution: [93, 20] [0, 1, 0, 1]
44 38.71666240692139 Robot: (23, 99, [0, 0, 0, 0]) Solution: [23, 99] [0, 0, 0, 0]
73 64.29400277137756 Robot: (17, 83, [0, 1, 0, 1]) Solution: [17, 83] [0, 1, 0, 1]
51 44.98152160644531 Robot: (166, 6, [0, 1, 0, 1]) Solution: [166, 6] [0, 1, 0, 1]
46 40.495734453201294 Robot: (14, 130, [0, 0, 0, 0]) Solution: [14, 130] [0, 0, 0, 0]
32 28.078731536865234 Robot: (8, 83, [1, 0, 0, 0]) Solution: [8, 83] [1, 0, 0, 0]
47 41.33133339881897 Robot: (20, 134, [0, 1, 0, 1]) Solution: [20, 134] [0, 1, 0, 1]
54 47.63050103187561 Robot: (36, 84, [0, 0, 1, 0]) Solution: [36, 84] [0, 0, 1, 0]
59 51.745848178863525 Robot: (139, 130, [0, 1, 0, 1]) Solution: [139, 130] [0, 1, 0, 1]
48 42.232232093811035 Robot: (27, 160, [0, 1, 0, 0]) Solution: [27, 160] [0, 1, 0, 0]
54 47.391820669174194 Robot: (109, 121, [0, 0, 1, 0]) Solution: [109, 121] [0, 0, 1, 0]
34 29.852415323257446 Robot: (178, 73, [0, 0, 1, 0]) Solution: [178, 73] [0, 0, 1, 0]
65 57.078505516052246 Robot: (143, 59, [0, 0, 1, 1]) Solution: [143, 59] [0, 0, 1, 1]
35 30.60231304168701 Robot: (58, 50, [0, 1, 0, 0]) Solution: [58, 50] [0, 1, 0, 0]
44 38.616621017456055 Robot: (44, 20, [0, 0, 0, 0]) Solution: [44, 20] [0, 0, 0, 0]
47 41.15486478805542 Robot: (24, 134, [0, 1, 1, 0]) Solution: [24, 134] [0, 1, 1, 0]
42 36.77004861831665 Robot: (178, 200, [0, 0, 1, 1]) Solution: [178, 200] [0, 0, 1, 1]
